"query","search interest","increase percent"
"nasa",100,"2%"
"artemis",10,"2,750%"
"nasa artemis",9,"2,950%"
"artemis nasa",9,"2,950%"
"nasa india",8,"120%"
"space",8,"20%"
"nasa space",7,"20%"
"nasa full form",6,"-20%"
"nasa 3i atlas",6,"Breakout"
"3i atlas",6,"Breakout"
"what is nasa",5,"30%"
"nasa interstellar comet 3i atlas",5,"Breakout"
"interstellar comet 3i atlas nasa",5,"Breakout"
"isro",5,"20%"
"nasa news",4,"40%"
"nasa artemis rocket launch",4,"Breakout"
"nasa artemis ii",4,"Breakout"
"nasa birthday",3,"400%"
"earth",3,"-4%"
"nasa meaning",2,"6%"
"nasa birthday gift",2,"1,200%"
"nasa live",2,"2%"
"nasa artemis ii launch",2,"Breakout"
"nasa kya hai",2,"30%"
"sunita williams",2,"-90%"
"नासा",2,"-60%"
"full form of nasa",2,"-30%"
"hubble birthday",1,"400%"
"nasa hubble birthday",1,"450%"
"hubble birthday nasa",1,"400%"
"nasa images",1,"50%"
"nasa news today",1,"70%"
"nasa astronaut sunita williams",1,"-90%"
"nasa artemis ii astronauts",1,"Breakout"
"nasa in english",1,"-7%"
"nasa astronaut sunita williams retires",1,"Breakout"
"nasa power",1,"140%"
"where is nasa",1,"20%"
"isro full form",1,"-20%"
"hubble birthday nasa gift",1,"4,400%"
"hubble nasa birthday gift",1,"4,750%"
"nasa satellite crashing",1,"Breakout"
"nasa website",1,"130%"
"nasa artemis ii launch pad",1,"Breakout"
"shubhanshu shukla",1,"Breakout"
"solar system",1,"10%"
"nasa artemis ii astronauts moon",1,"Breakout"
"nasa solar system",1,"10%"
"nasa space station",1,"30%"
"nasa budget",1,"200%"
